Brand,Model,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price,
MSI,MSI Pulse GL66 11UEK,Tiger Lake i7,16GB,1TB SSD,"15.6"" ",Windows 10,6GB RTX 3060 NVIDIA GeForce,2.54,2,489000.00,
MSI,MSI Modern 15 A11M,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,Intel ,1.75,2,228500.00,
MSI,MSI MOdern 15 A11MU,Tiger Lake i5,8GB,512GB SSD,"15.6""",Windows 10,Intel ,1.6,2,197500.00,
MSI,MSI GF63 Thin 10SC,Comet Lake i7,8GB,1TB,"15.6""",Windows 10,Intel ,1.9,2,243500.00,
MSI,MSI Katana GF66 11UD,Tiger Lake i7,16GB ,512GB SSD,"15.6""",Windows 10,4GB RTX 3050 NVIDIA GeForce,2.25,2,358000.00,
MSI,MSI GF63 Thin 11UC,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 11,4GB RTX 3050 NVIDIA GeForce,2.25,2,295000.00,
MSI,MSI GE76 Raider 10UG,Comet Lake i7,32GB,2TB SSD,"17.3""",Windows 10,8GB RTX 3070 NVIDIA GeForce,3,2,649000.00,
MSI,MSI Modern 15 A4M Notebook,AMD Ryzen 5,8GB,512GB SSD,"15.6""",Windows 10,AMD,1.6,2,183500.00,
MSI,MSI Katana GF66 11UD,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,4GB RTX 3050 NVIDIA GeForce,2.25,2,338000.00,
MSI,MSI GP76 LeoPard 11UH,Tiger Lake i7,16GB,1TB SSD,"17.3""",Windows 10,8GB RTX 3080 NVIDIA GeForce,2.98,2,737000.00,
MSI,MSI GF63 Thin 10SCSR,Comet Lake i5,8GB,1TB,"15.6""",Windows 10,4GB NVIDIA GeForce,1.6,2,231000.00,
MSI,MSI GL65 Leopard 10SCXR Gaming Notebook,Comet Lake i7,16GB,512GB SSD,"15.6""",Windows 10,4GB RTX 3050 NVIDIA GeForce,2.3,2,245000.00,
MSI,MSI GF63 Thin 10SCSR,Comet Lake i7,8GB ,1TB,"15.6""",Windows 10,4GB NVIDIA GeForce,1.75,2,264000.00,
MSI,MSI Bravo 15 B5DD R7 Gaming Notebook,AMD Ryzen 7,16GB,512GB,"15.6""",Windows 10,AMD,1.96,2,315000.00,
MSI,MSI Pluse GL66 11UEK,Intel Core i7,16GB,1TB SSD,"15.6""",Windows 10,6GB RTX 3060 NVIDIA GeForce,2.25,2,394000.00,
MSI,MSI BRAVO 15 A4DDR R5,AMD Ryzen 5,8GB,512GB SSD,"15.6""",Windows 10,AMD,1.9,2,198500.00,
MSI,MSI BRAVO 15 14DDR R7,AMD Ryzen 7,8GB,512GB SSD,"15.6""",Windows 10,AMD,1.9,2,222000.00,
MSI,MSI Katana GF66 11SC,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,2GB RTX 1650 NVIDIA GeForce,1.96,2,259500.00,
Apple,MacBook Air,M1 CHIP 8C CPU,8GB,512GB SSD,"13.0""",Mac OS,8C GPU,0.96,1,419999.00,
Apple,MacBook Air,M1,8GB,512GB SSD,"13.0""",Mac OS,Apple M1,0.96,1,365700.00,
Apple,MacBook Pro,M1,8GB,256GB SSD,"13.0""",Mac OS,Apple M1,0.96,1,373750.00,
Apple,MacBook Pro,M1,8GB,512GB SSD,"13.0""",Mac OS,Apple M1,0.96,1,418600.00,
Apple,MacBook Pro,Intel Core i5 2.3GHz,8GB,128GB SSD,"13.3""",macOS,Intel Iris Plus Graphics 640,1.37,2,390000.00,
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,"13.3""",macOS,Intel HD Graphics 6000,1.34,2,262500.00,
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",No OS,Intel HD Graphics 620,1.8,2,168000.00,
Apple,MacBook Pro,Intel Core i7 2.7GHz,16GB,512GB SSD,"15.4""",macOS,AMD Radeon Pro 455,1.83,2,740000.00,
Apple,MacBook Pro,Intel Core i5 3.1GHz,8GB,256GB SSD,"13.3""",macOS,Intel Iris Plus Graphics 650,1.37,2,526500.00,
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,500GB HDD,"15.6""",Windows,AMD Radeon R5,2.1,2,116500.00,
Apple,MacBook Pro,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,"15.4""",Mac OS,Intel Iris Pro Graphics,2.04,2,624000.00,
Apple,Macbook Air,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,"13.3""",macOS,Intel HD Graphics 6000,1.34,2,340000.00,
Asus,ZenBook UX430UN,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,"14.0""",Windows,Nvidia GeForce MX150,1.3,2,435000.00,
Acer,Swift 3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,"14.0""",Windows,Intel UHD Graphics 620,1.6,3,224840.00,
HP,250 G6,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",No OS,Intel HD Graphics 620,1.86,2,114756.00,
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,"15.6""",No OS,Intel HD Graphics 520,1.86,2,100448.00,
Apple,MacBook Pro,Intel Core i7 2.8GHz,16GB,256GB SSD,"15.4""",macOS,AMD Radeon Pro 555,1.83,2,712188.00,
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,256GB SSD,"15.6""",Windows,AMD Radeon R5 M430,2.2,2,145416.00,
Apple,"MacBook 12""",Intel Core M m3 1.2GHz,8GB,256GB SSD,"12.0""",macOS,Intel HD Graphics 615,0.92,2,368504.00,
Apple,MacBook Pro,Intel Core i5 2.3GHz,8GB,256GB SSD,"13.3""",macOS,Intel Iris Plus Graphics 640,1.37,2,443256.00,
Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,AMD Radeon R5 M430,2.2,0,217540.00,
Apple,MacBook Pro,Intel Core i7 2.9GHz,16GB,512GB SSD,"15.4""",macOS,AMD Radeon Pro 560,1.83,2,834536.00,
Lenovo,IdeaPad 320-15IKB,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,"15.6""",No OS,Nvidia GeForce 940MX,2.2,3,145708.00,
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,"13.3""",Windows,Intel UHD Graphics 620,1.22,1,285868.00,
Asus,Vivobook E200HA,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,"11.6""",Windows,Intel HD Graphics 400,0.98,2,55772.00,
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.5,3,291708.00,
HP,255 G6,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,"15.6""",No OS,AMD Radeon R2,1.86,2,75336.00,
Dell,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,"13.3""",Windows,Intel UHD Graphics 620,1.62,3,239148.00,
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,1.91,2,192428.00,
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 520,2.3,2,122056.00,
Apple,MacBook Air,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,"13.3""",Mac OS,Intel HD Graphics 6000,1.35,2,320908.00,
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,"15.6""",Windows,AMD Radeon 530,2.2,2,233600.00,
Dell,Latitude 5590,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,"15.6""",Windows,Intel UHD Graphics 620,1.88,2,379016.00,
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,"17.3""",Windows,Nvidia GeForce 930MX,2.5,2,261632.00,
