Model,Brand,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
Thinkpad 13,Lenovo,Intel Core i3 7100U 2.4GHz,4GB,1GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.44,2,#REF!
Notebook 9,Samsung,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,"15.0""",Windows,Nvidia GeForce 940MX,1.23,2,#REF!
Latitude 7280,Dell,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.6,2,#REF!
X541NA-GO121 (N4200/4GB/1TB/Linux),Asus,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,"15.6""",Linux,Intel HD Graphics 505,2,2,#REF!
Mi Notebook,Xiaomi,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"13.3""",Windows,Nvidia GeForce 940MX,1.28,2,#REF!
Vostro 5568,Dell,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce 940MX,2.18,2,#REF!
ProBook 450,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.04,1,#REF!
EliteBook x360,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.28,1,#REF!
Pavilion x360,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,2.3,1,#REF!
VivoBook L402NA,Asus,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,"14.1""",Windows,Intel HD Graphics 500,1.65,1,#REF!
IdeaPad 510-15ISK,Lenovo,Intel Core i7 6500U 2.5GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce 940MX,2.2,2,#REF!
Inspiron 3552,Dell,Intel Pentium Quad Core N3710 1.6GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics,2.2,2,#REF!
EliteBook x360,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.28,2,#REF!
Vostro 3568,Dell,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,"15.6""",Linux,AMD Radeon R5 M420X,2.18,2,#REF!
Rog GL753VD-GC082T,Asus,Intel Core i5 7300HQ 2.5GHz,12GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1050,2.2,2,#REF!
Chromebook C731-C78G,Acer,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,"11.6""",Chrome OS,Intel HD Graphics 400,1.25,2,#REF!
